timestamp,can_id,speed_kph,rpm,temp_c,accel_x,accel_y,voltage,heartbeat,dtcs
1970-01-08T03:34:04.034,0x7ff,2.5,887.0,25,0.26,0.0,13.79,100,NONE
1970-01-08T03:34:05.040,0x7ff,5.0,1000.0,30,0.246,0.0,13.84,200,NONE
1970-01-08T03:34:06.046,0x7ff,7.5,1044.0,35,0.259,0.001,13.78,300,NONE
1970-01-08T03:34:07.052,0x7ff,10.0,1095.0,40,0.252,0.0,13.75,400,NONE
1970-01-08T03:34:08.058,0x7ff,12.5,1170.0,45,0.257,0.0,13.83,500,NONE
1970-01-08T03:34:09.064,0x7ff,15.0,1291.0,50,0.247,0.0,13.71,600,NONE
1970-01-08T03:34:10.070,0x7ff,17.5,1309.0,55,0.257,0.0,13.76,700,NONE
1970-01-08T03:34:11.076,0x7ff,20.0,1420.0,60,0.248,0.0,13.78,800,NONE
1970-01-08T03:34:12.082,0x7ff,22.5,1525.0,65,0.255,0.0,13.78,900,NONE
1970-01-08T03:34:13.088,0x7ff,25.0,1552.0,70,0.248,-0.004,13.75,1000,NONE
1970-01-08T03:34:14.094,0x7ff,27.5,1578.0,75,0.253,-0.003,13.78,1100,NONE
1970-01-08T03:34:15.100,0x7ff,30.0,1741.0,80,0.259,0.003,13.77,1200,NONE
1970-01-08T03:34:16.106,0x7ff,32.5,1820.0,85,0.256,-0.002,13.88,1300,NONE
1970-01-08T03:34:17.112,0x7ff,35.0,1864.0,90,0.249,-0.002,13.78,1400,NONE
1970-01-08T03:34:18.118,0x7ff,37.5,1939.0,90,0.257,0.0,13.74,1500,NONE
1970-01-08T03:34:19.123,0x7ff,40.0,2012.0,90,0.252,0.001,13.87,1600,NONE
1970-01-08T03:34:20.129,0x7ff,42.5,2103.0,90,0.254,0.0,13.81,1700,NONE
1970-01-08T03:34:21.135,0x7ff,45.0,2172.0,90,0.252,0.006,13.84,1800,NONE
1970-01-08T03:34:22.141,0x7ff,47.5,2192.0,90,0.255,0.0,13.77,1900,NONE
1970-01-08T03:34:23.147,0x7ff,50.0,2319.0,90,-0.002,-0.001,13.77,2000,NONE
1970-01-08T03:34:24.153,0x7ff,50.0,2331.0,90,0.002,-0.006,13.89,2100,NONE
1970-01-08T03:34:25.159,0x7ff,50.0,2348.0,90,-0.005,-0.001,13.77,2200,NONE
1970-01-08T03:34:26.165,0x7ff,50.0,2305.0,90,-0.006,0.002,13.73,2300,NONE
1970-01-08T03:34:27.171,0x7ff,50.0,2329.0,90,-0.002,0.003,13.87,2400,NONE
1970-01-08T03:34:28.177,0x7ff,50.0,2304.0,90,-0.002,0.0,13.76,2500,NONE
1970-01-08T03:34:29.183,0x7ff,50.0,2283.0,90,0.005,0.0,13.75,2600,NONE
1970-01-08T03:34:30.188,0x7ff,50.0,2339.0,90,0.001,0.004,13.68,2700,NONE
1970-01-08T03:34:31.195,0x7ff,50.0,2336.0,90,-0.002,-0.005,13.81,2800,NONE
1970-01-08T03:34:32.200,0x7ff,50.0,2325.0,90,-0.007,0.001,13.81,2900,NONE
1970-01-08T03:34:33.206,0x7ff,50.0,2347.0,90,-0.002,0.005,13.79,3000,NONE
