System_Time,Gear,Gear_Num,Speed_kmh,Engine_RPM,Coolant_Temp_C,Oil_Temp_C,Ambient_Temp_C,Fuel_Rate_mL_s,Remaining_Fuel_L,Fuel_Pct,Distance_km,Accel_ms2,Engine_Load_Pct,Throttle_Pct,Rev_Limiter,Engine_State,Stall_Risk,Clutch_State,Brake_State,Battery_V,Tyre_P_FL,Tyre_P_FR,Tyre_P_RL,Tyre_P_RR
09:47:22,Neutral,0,0,800,29.73,29.72,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.6,32.1,32.0,31.8,31.9
09:47:22,Neutral,0,0,800,29.76,29.74,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.6,32.1,32.0,31.8,31.9
09:47:22,Neutral,0,0,800,29.79,29.76,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.6,32.1,32.0,31.8,31.9
09:47:22,Neutral,0,0,800,29.82,29.78,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.6,32.1,32.0,31.8,31.9
09:47:23,Neutral,0,0,800,29.85,29.8,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.6,32.1,32.0,31.8,31.9
09:47:23,Neutral,0,0,800,29.88,29.82,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.6,32.1,32.0,31.8,31.9
09:47:23,Neutral,0,0,800,29.91,29.84,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.6,32.1,32.0,31.8,31.9
09:47:23,Neutral,0,0,800,29.94,29.86,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.6,32.1,32.0,31.8,31.9
09:47:23,Neutral,0,0,800,29.97,29.88,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.6,32.1,32.0,31.8,31.9
09:47:23,Neutral,0,0,800,30.0,29.9,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:23,Neutral,0,0,800,30.03,29.92,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:23,Neutral,0,0,800,30.06,29.94,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:24,Neutral,0,0,800,30.09,29.96,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:24,Neutral,0,0,800,30.12,29.98,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:24,Neutral,0,0,800,30.15,30.0,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:24,Neutral,0,0,800,30.18,30.02,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:24,Neutral,0,0,800,30.21,30.04,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:24,Neutral,0,0,800,30.23,30.06,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:24,Neutral,0,0,800,30.26,30.08,29.7,0.5,39.173,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:25,Neutral,0,0,800,30.29,30.1,29.7,0.5,39.172,97.9,0.0,0.0,8.2,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:25,Neutral,0,0,1200,30.32,30.13,29.7,0.55,39.172,97.9,0.0,0.0,12.3,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:25,Neutral,0,0,1600,30.35,30.15,29.7,0.74,39.172,97.9,0.0,0.0,16.4,100.0,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:25,Neutral,0,0,2000,30.38,30.17,29.7,0.92,39.172,97.9,0.0,0.0,20.5,81.2,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:25,Neutral,0,0,2400,30.41,30.19,29.7,1.11,39.172,97.9,0.0,0.0,24.6,67.7,0,IDLE,0,UP,OFF,12.59,32.1,32.0,31.8,31.9
09:47:25,Neutral,0,0,2800,30.56,30.21,29.7,1.29,39.172,97.9,0.0,0.0,28.7,58.0,0,CLUTCH_OUT,0,DOWN,OFF,12.59,32.1,32.0,31.8,31.9
09:47:25,Neutral,0,0,3200,30.71,30.23,29.7,1.48,39.172,97.9,0.0,0.0,32.8,50.8,0,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:25,Neutral,0,0,3600,30.86,30.25,29.7,1.66,39.172,97.9,0.0,0.0,36.9,45.1,0,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:26,Neutral,0,0,4000,31.01,30.27,29.7,1.85,39.172,97.9,0.0,0.0,41.0,40.6,0,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:26,Neutral,0,0,4400,31.16,30.29,29.7,2.03,39.171,97.9,0.0,0.0,45.1,36.9,0,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:26,2nd Gear,2,0,4800,31.3,30.32,29.7,2.22,39.171,97.9,0.0,0.0,49.2,33.9,0,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:26,2nd Gear,2,0,5200,31.45,30.34,29.7,2.4,39.171,97.9,0.0,0.0,53.3,31.2,0,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:26,2nd Gear,2,0,5600,31.6,30.36,29.7,2.58,39.171,97.9,0.0,0.0,57.4,29.0,0,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:26,2nd Gear,2,0,6000,31.75,30.38,29.7,2.77,39.17,97.9,0.0,0.0,61.5,27.1,0,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:26,2nd Gear,2,0,6400,31.9,30.41,29.7,2.95,39.17,97.9,0.0,0.0,65.6,25.4,1,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:27,2nd Gear,2,0,6500,32.04,30.43,29.7,3.0,39.17,97.9,0.0,0.0,66.7,25.0,1,CLUTCH_OUT,0,DOWN,OFF,12.6,32.1,32.0,31.8,31.9
09:47:27,2nd Gear,2,0,6500,32.19,30.45,29.7,3.0,39.169,97.9,0.0,0.0,66.7,25.0,1,CLUTCH_OUT,0,DOWN,OFF,12.61,32.1,32.0,31.8,31.9
