timestamp,can_id,extended_id,is_fd,dlc,message,Speed,RPM,Temp,Acceleration,throttle
0.0,0x100,False,False,8,VehicleData,0,800,25,0,0
0.0,0x100,False,False,8,VehicleData,10,1000,26,0,0
0.0,0x100,False,False,8,VehicleData,20,1200,27,0,0
0.0,0x1CFFC1A2,True,False,8,BatteryData,0,0,0,45,80
0.0,0x1CFFC1A2,True,False,8,BatteryData,0,0,0,100,50
0.0,0x1CFFE100,True,False,8,GearboxData,95,2500,0,0,0
0.0,0x100,False,False,8,VehicleData,0,800,25,0,0
0.0,0x100,False,False,8,VehicleData,10,2000,86,0,0
0.0,0x1CFFC1A2,True,False,8,BatteryData,0,0,0,100,50
0.0,0x1CFFE100,True,False,8,GearboxData,95,2500,0,0,0
0.0,0x100,False,False,8,VehicleData,0,800,25,0,0
0.0,0x100,False,False,8,VehicleData,10,2000,86,0,0
0.0,0x100,False,False,8,VehicleData,10,2000,86,0,0
0.0,0x1CFFC1A2,True,False,8,BatteryData,0,0,0,100,50
0.0,0x1CFFE100,True,False,8,GearboxData,95,2500,0,0,0
0.0,0x1CFFE100,True,False,8,GearboxData,95,2500,0,0,0
0.0,0x1CFFE100,True,False,8,GearboxData,95,2500,0,0,0
0.0,0x1CFFE100,True,False,8,GearboxData,95,2500,0,0,0
